repo,repo_name,case,scope,tool,profile,mode,target_index,target_value,repetition,order_position,symbol_count,file_count,database_size_bytes,wall_ms,load_phase_ms,load_phase_pct,load_calls,response_bytes,rss_before_bytes,rss_after_bytes,rss_delta_bytes,canonical_response_hash,repo_git_head,repo_indexed_at,jcodemunch_version,jcodemunch_source_sha,benchmark_sha256,staged_harness_sha256,python_utf8_mode,source_root_basename,source_diff_sha256,source_dirty_paths,parity_debug_json
django/django,django-3eb2e228,search_symbols_compact_concurrency_1_fresh_process,cold_concurrency_fresh_process_resource_validation,search_symbols,all_symbols_search,baseline_full,3,"{""detail_level"": ""compact"", ""format"": ""json"", ""fusion"": false, ""max_results"": 10, ""query"": ""test_basic"", ""repo"": ""local/django-3eb2e228""}",1,1,45561,2730,39505920,2368.3425,506.7242,21.395731402869302,1,3374,101081088,333918208,232837120,8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,0b6845d43229b4f0709a9b9b9cc097bb37a71d13fa221410029c2add01bb7aee,1f082274c420254aa11037a418e735651ad8ddc8e955c55ccd4380fc12d9596e,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""concurrency"": 1, ""derived_states"": [], ""load_durations_ms"": [506.7242], ""peak_rss_bytes"": 335765504, ""peak_rss_delta_bytes"": 234684416, ""process_cpu_ms"": 2359.375, ""target_policy"": ""middle stride target; simultaneous cold calls; forced JSON response encoding"", ""within_batch_hashes"": [""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc""]}"
django/django,django-3eb2e228,search_symbols_compact_concurrency_1_fresh_process,cold_concurrency_fresh_process_resource_validation,search_symbols,all_symbols_search,generation_safe_hybrid,3,"{""detail_level"": ""compact"", ""format"": ""json"", ""fusion"": false, ""max_results"": 10, ""query"": ""test_basic"", ""repo"": ""local/django-3eb2e228""}",1,2,45561,2730,39505920,2400.9153,516.6039,21.516956470725972,1,3374,101879808,333119488,231239680,8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,0b6845d43229b4f0709a9b9b9cc097bb37a71d13fa221410029c2add01bb7aee,1f082274c420254aa11037a418e735651ad8ddc8e955c55ccd4380fc12d9596e,1,wt-generation-safe-hybrid,87f0ef27d476ad303a854c40a984e645bf1074ff2207c8d112c741447dbbfcb2,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
 M src/jcodemunch_mcp/tools/search_symbols.py
?? tests/test_generation_safe_hybrid.py","{""concurrency"": 1, ""derived_states"": [], ""load_durations_ms"": [516.6039], ""peak_rss_bytes"": 334721024, ""peak_rss_delta_bytes"": 232841216, ""process_cpu_ms"": 2390.625, ""target_policy"": ""middle stride target; simultaneous cold calls; forced JSON response encoding"", ""within_batch_hashes"": [""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc""]}"
django/django,django-3eb2e228,search_symbols_compact_concurrency_1_fresh_process,cold_concurrency_fresh_process_resource_validation,search_symbols,all_symbols_search,generation_safe_hybrid,3,"{""detail_level"": ""compact"", ""format"": ""json"", ""fusion"": false, ""max_results"": 10, ""query"": ""test_basic"", ""repo"": ""local/django-3eb2e228""}",2,1,45561,2730,39505920,2389.3101,510.1871,21.35290433836947,1,3374,102055936,333123584,231067648,8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,0b6845d43229b4f0709a9b9b9cc097bb37a71d13fa221410029c2add01bb7aee,1f082274c420254aa11037a418e735651ad8ddc8e955c55ccd4380fc12d9596e,1,wt-generation-safe-hybrid,87f0ef27d476ad303a854c40a984e645bf1074ff2207c8d112c741447dbbfcb2,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
 M src/jcodemunch_mcp/tools/search_symbols.py
?? tests/test_generation_safe_hybrid.py","{""concurrency"": 1, ""derived_states"": [], ""load_durations_ms"": [510.1871], ""peak_rss_bytes"": 335060992, ""peak_rss_delta_bytes"": 233005056, ""process_cpu_ms"": 2390.625, ""target_policy"": ""middle stride target; simultaneous cold calls; forced JSON response encoding"", ""within_batch_hashes"": [""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc""]}"
django/django,django-3eb2e228,search_symbols_compact_concurrency_1_fresh_process,cold_concurrency_fresh_process_resource_validation,search_symbols,all_symbols_search,baseline_full,3,"{""detail_level"": ""compact"", ""format"": ""json"", ""fusion"": false, ""max_results"": 10, ""query"": ""test_basic"", ""repo"": ""local/django-3eb2e228""}",2,2,45561,2730,39505920,2369.265,514.2672,21.705769510797655,1,3374,101785600,333303808,231518208,8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,0b6845d43229b4f0709a9b9b9cc097bb37a71d13fa221410029c2add01bb7aee,1f082274c420254aa11037a418e735651ad8ddc8e955c55ccd4380fc12d9596e,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""concurrency"": 1, ""derived_states"": [], ""load_durations_ms"": [514.2672], ""peak_rss_bytes"": 335032320, ""peak_rss_delta_bytes"": 233246720, ""process_cpu_ms"": 2328.125, ""target_policy"": ""middle stride target; simultaneous cold calls; forced JSON response encoding"", ""within_batch_hashes"": [""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc""]}"
django/django,django-3eb2e228,search_symbols_compact_concurrency_1_fresh_process,cold_concurrency_fresh_process_resource_validation,search_symbols,all_symbols_search,baseline_full,3,"{""detail_level"": ""compact"", ""format"": ""json"", ""fusion"": false, ""max_results"": 10, ""query"": ""test_basic"", ""repo"": ""local/django-3eb2e228""}",3,1,45561,2730,39505920,2363.7967,503.0221,21.280260692469874,1,3374,101081088,333750272,232669184,8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,0b6845d43229b4f0709a9b9b9cc097bb37a71d13fa221410029c2add01bb7aee,1f082274c420254aa11037a418e735651ad8ddc8e955c55ccd4380fc12d9596e,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""concurrency"": 1, ""derived_states"": [], ""load_durations_ms"": [503.0221], ""peak_rss_bytes"": 335396864, ""peak_rss_delta_bytes"": 234315776, ""process_cpu_ms"": 2343.75, ""target_policy"": ""middle stride target; simultaneous cold calls; forced JSON response encoding"", ""within_batch_hashes"": [""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc""]}"
django/django,django-3eb2e228,search_symbols_compact_concurrency_1_fresh_process,cold_concurrency_fresh_process_resource_validation,search_symbols,all_symbols_search,generation_safe_hybrid,3,"{""detail_level"": ""compact"", ""format"": ""json"", ""fusion"": false, ""max_results"": 10, ""query"": ""test_basic"", ""repo"": ""local/django-3eb2e228""}",3,2,45561,2730,39505920,2427.3123,507.1203,20.892256015017104,1,3374,101720064,333172736,231452672,8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,0b6845d43229b4f0709a9b9b9cc097bb37a71d13fa221410029c2add01bb7aee,1f082274c420254aa11037a418e735651ad8ddc8e955c55ccd4380fc12d9596e,1,wt-generation-safe-hybrid,87f0ef27d476ad303a854c40a984e645bf1074ff2207c8d112c741447dbbfcb2,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
 M src/jcodemunch_mcp/tools/search_symbols.py
?? tests/test_generation_safe_hybrid.py","{""concurrency"": 1, ""derived_states"": [], ""load_durations_ms"": [507.1203], ""peak_rss_bytes"": 334954496, ""peak_rss_delta_bytes"": 233234432, ""process_cpu_ms"": 2328.125, ""target_policy"": ""middle stride target; simultaneous cold calls; forced JSON response encoding"", ""within_batch_hashes"": [""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc""]}"
django/django,django-3eb2e228,search_symbols_compact_concurrency_4_fresh_process,cold_concurrency_fresh_process_resource_validation,search_symbols,all_symbols_search,baseline_full,3,"{""detail_level"": ""compact"", ""format"": ""json"", ""fusion"": false, ""max_results"": 10, ""query"": ""test_basic"", ""repo"": ""local/django-3eb2e228""}",1,1,45561,2730,39505920,2439.3005,1903.8168,19.51191335384878,4,16255,101642240,334217216,232574976,8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,0b6845d43229b4f0709a9b9b9cc097bb37a71d13fa221410029c2add01bb7aee,1f082274c420254aa11037a418e735651ad8ddc8e955c55ccd4380fc12d9596e,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""concurrency"": 4, ""derived_states"": [], ""load_durations_ms"": [475.8365, 475.9276, 476.0027, 476.05], ""peak_rss_bytes"": 342331392, ""peak_rss_delta_bytes"": 240689152, ""process_cpu_ms"": 2421.875, ""target_policy"": ""middle stride target; simultaneous cold calls; forced JSON response encoding"", ""within_batch_hashes"": [""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc""]}"
django/django,django-3eb2e228,search_symbols_compact_concurrency_4_fresh_process,cold_concurrency_fresh_process_resource_validation,search_symbols,all_symbols_search,generation_safe_hybrid,3,"{""detail_level"": ""compact"", ""format"": ""json"", ""fusion"": false, ""max_results"": 10, ""query"": ""test_basic"", ""repo"": ""local/django-3eb2e228""}",1,2,45561,2730,39505920,2504.9633,1910.3741999999997,19.065890107052663,4,16255,100876288,334098432,233222144,8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,0b6845d43229b4f0709a9b9b9cc097bb37a71d13fa221410029c2add01bb7aee,1f082274c420254aa11037a418e735651ad8ddc8e955c55ccd4380fc12d9596e,1,wt-generation-safe-hybrid,87f0ef27d476ad303a854c40a984e645bf1074ff2207c8d112c741447dbbfcb2,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
 M src/jcodemunch_mcp/tools/search_symbols.py
?? tests/test_generation_safe_hybrid.py","{""concurrency"": 4, ""derived_states"": [], ""load_durations_ms"": [477.4847, 477.5311, 477.5934, 477.765], ""peak_rss_bytes"": 342122496, ""peak_rss_delta_bytes"": 241246208, ""process_cpu_ms"": 2484.375, ""target_policy"": ""middle stride target; simultaneous cold calls; forced JSON response encoding"", ""within_batch_hashes"": [""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc""]}"
django/django,django-3eb2e228,search_symbols_compact_concurrency_4_fresh_process,cold_concurrency_fresh_process_resource_validation,search_symbols,all_symbols_search,generation_safe_hybrid,3,"{""detail_level"": ""compact"", ""format"": ""json"", ""fusion"": false, ""max_results"": 10, ""query"": ""test_basic"", ""repo"": ""local/django-3eb2e228""}",2,1,45561,2730,39505920,2503.0738,1892.8696,18.905451369432257,4,16255,101363712,334241792,232878080,8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,0b6845d43229b4f0709a9b9b9cc097bb37a71d13fa221410029c2add01bb7aee,1f082274c420254aa11037a418e735651ad8ddc8e955c55ccd4380fc12d9596e,1,wt-generation-safe-hybrid,87f0ef27d476ad303a854c40a984e645bf1074ff2207c8d112c741447dbbfcb2,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
 M src/jcodemunch_mcp/tools/search_symbols.py
?? tests/test_generation_safe_hybrid.py","{""concurrency"": 4, ""derived_states"": [], ""load_durations_ms"": [473.0959, 473.1447, 473.2718, 473.3572], ""peak_rss_bytes"": 342188032, ""peak_rss_delta_bytes"": 240824320, ""process_cpu_ms"": 2500.0, ""target_policy"": ""middle stride target; simultaneous cold calls; forced JSON response encoding"", ""within_batch_hashes"": [""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc""]}"
django/django,django-3eb2e228,search_symbols_compact_concurrency_4_fresh_process,cold_concurrency_fresh_process_resource_validation,search_symbols,all_symbols_search,baseline_full,3,"{""detail_level"": ""compact"", ""format"": ""json"", ""fusion"": false, ""max_results"": 10, ""query"": ""test_basic"", ""repo"": ""local/django-3eb2e228""}",2,2,45561,2730,39505920,2427.1489,1883.2746000000002,19.398012622958568,4,16255,101064704,334417920,233353216,8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,0b6845d43229b4f0709a9b9b9cc097bb37a71d13fa221410029c2add01bb7aee,1f082274c420254aa11037a418e735651ad8ddc8e955c55ccd4380fc12d9596e,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""concurrency"": 4, ""derived_states"": [], ""load_durations_ms"": [470.6047, 470.8334, 470.8901, 470.9464], ""peak_rss_bytes"": 341757952, ""peak_rss_delta_bytes"": 240693248, ""process_cpu_ms"": 2421.875, ""target_policy"": ""middle stride target; simultaneous cold calls; forced JSON response encoding"", ""within_batch_hashes"": [""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc"", ""8bbfc6a0277003e5f3be75b4f622bea0b1012e604a83845ce7cb40213f480efc""]}"
