repo,repo_name,case,scope,tool,profile,mode,target_index,target_value,repetition,order_position,symbol_count,file_count,database_size_bytes,wall_ms,load_phase_ms,load_phase_pct,load_calls,response_bytes,rss_before_bytes,rss_after_bytes,rss_delta_bytes,canonical_response_hash,repo_git_head,repo_indexed_at,jcodemunch_version,jcodemunch_source_sha,benchmark_sha256,staged_harness_sha256,python_utf8_mode,source_root_basename,source_diff_sha256,source_dirty_paths,parity_debug_json
django/django,django-3eb2e228,symbol_source_single_concurrency_1,cold_generation_safe_hybrid_concurrency,get_symbol_source,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,1,45561,2730,39505920,707.0427,506.6792,71.66175395064542,1,1525,101662720,246562816,144900096,03ade18d81e527ef0d6a5f2e1b6b95d487c68d25c4c6392118062d19f4cbdc00,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""concurrency"": 1, ""peak_rss_bytes"": 276877312, ""peak_rss_delta_bytes"": 175214592, ""process_cpu_ms"": 671.875, ""target_policy"": ""middle stride target; simultaneous cold calls"", ""within_batch_hashes"": [""03ade18d81e527ef0d6a5f2e1b6b95d487c68d25c4c6392118062d19f4cbdc00""]}"
django/django,django-3eb2e228,symbol_source_single_concurrency_1,cold_generation_safe_hybrid_concurrency,get_symbol_source,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,2,45561,2730,39505920,350.7699,150.8098,42.9939399019129,1,1525,101978112,109404160,7426048,03ade18d81e527ef0d6a5f2e1b6b95d487c68d25c4c6392118062d19f4cbdc00,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,1,wt-generation-safe-hybrid,1651fd7c8ef39918e25495d4b2248985a24529ed36d1611b8fff6539af586fed,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""concurrency"": 1, ""peak_rss_bytes"": 117731328, ""peak_rss_delta_bytes"": 15753216, ""process_cpu_ms"": 312.5, ""target_policy"": ""middle stride target; simultaneous cold calls"", ""within_batch_hashes"": [""03ade18d81e527ef0d6a5f2e1b6b95d487c68d25c4c6392118062d19f4cbdc00""]}"
django/django,django-3eb2e228,symbol_source_single_concurrency_2,cold_generation_safe_hybrid_concurrency,get_symbol_source,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,1,45561,2730,39505920,36.8472,43.1869,58.60268894244339,2,3308,108195840,121167872,12972032,4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,1,wt-generation-safe-hybrid,1651fd7c8ef39918e25495d4b2248985a24529ed36d1611b8fff6539af586fed,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""concurrency"": 2, ""peak_rss_bytes"": 123125760, ""peak_rss_delta_bytes"": 14929920, ""process_cpu_ms"": 31.25, ""target_policy"": ""middle stride target; simultaneous cold calls"", ""within_batch_hashes"": [""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524"", ""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524""]}"
django/django,django-3eb2e228,symbol_source_single_concurrency_2,cold_generation_safe_hybrid_concurrency,get_symbol_source,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,2,45561,2730,39505920,346.71,676.6518000000001,97.58181188889851,2,3310,141422592,247828480,106405888,4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""concurrency"": 2, ""peak_rss_bytes"": 278249472, ""peak_rss_delta_bytes"": 136826880, ""process_cpu_ms"": 343.75, ""target_policy"": ""middle stride target; simultaneous cold calls"", ""within_batch_hashes"": [""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524"", ""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524""]}"
django/django,django-3eb2e228,symbol_source_single_concurrency_4,cold_generation_safe_hybrid_concurrency,get_symbol_source,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,1,45561,2730,39505920,352.5721,1356.5298,96.18811301291282,4,6620,154484736,251740160,97255424,4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""concurrency"": 4, ""peak_rss_bytes"": 280150016, ""peak_rss_delta_bytes"": 125665280, ""process_cpu_ms"": 453.125, ""target_policy"": ""middle stride target; simultaneous cold calls"", ""within_batch_hashes"": [""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524"", ""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524"", ""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524"", ""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524""]}"
django/django,django-3eb2e228,symbol_source_single_concurrency_4,cold_generation_safe_hybrid_concurrency,get_symbol_source,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,2,45561,2730,39505920,80.8743,185.43110000000001,57.32077433745949,4,6616,117551104,144637952,27086848,4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,1,wt-generation-safe-hybrid,1651fd7c8ef39918e25495d4b2248985a24529ed36d1611b8fff6539af586fed,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""concurrency"": 4, ""peak_rss_bytes"": 148135936, ""peak_rss_delta_bytes"": 30584832, ""process_cpu_ms"": 109.375, ""target_policy"": ""middle stride target; simultaneous cold calls"", ""within_batch_hashes"": [""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524"", ""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524"", ""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524"", ""4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524""]}"
django/django,django-3eb2e228,dependency_cycles_concurrency_1,cold_generation_safe_hybrid_concurrency,get_dependency_cycles,all_files,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228""}",1,1,45561,2730,39505920,253.2865,13.8768,5.478697048599116,1,3549,128040960,130191360,2150400,59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,1,wt-generation-safe-hybrid,1651fd7c8ef39918e25495d4b2248985a24529ed36d1611b8fff6539af586fed,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""concurrency"": 1, ""peak_rss_bytes"": 132263936, ""peak_rss_delta_bytes"": 4222976, ""process_cpu_ms"": 328.125, ""target_policy"": ""middle stride target; simultaneous cold calls"", ""within_batch_hashes"": [""59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215""]}"
django/django,django-3eb2e228,dependency_cycles_concurrency_1,cold_generation_safe_hybrid_concurrency,get_dependency_cycles,all_files,baseline_full,3,"{""repo"": ""local/django-3eb2e228""}",1,2,45561,2730,39505920,580.3545,339.1999,58.447018158728845,1,3549,167858176,252383232,84525056,59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""concurrency"": 1, ""peak_rss_bytes"": 282624000, ""peak_rss_delta_bytes"": 114765824, ""process_cpu_ms"": 578.125, ""target_policy"": ""middle stride target; simultaneous cold calls"", ""within_batch_hashes"": [""59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215""]}"
django/django,django-3eb2e228,dependency_cycles_concurrency_2,cold_generation_safe_hybrid_concurrency,get_dependency_cycles,all_files,baseline_full,3,"{""repo"": ""local/django-3eb2e228""}",1,1,45561,2730,39505920,866.4232,730.5312,42.15787388888017,2,7098,176193536,252903424,76709888,59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""concurrency"": 2, ""peak_rss_bytes"": 283181056, ""peak_rss_delta_bytes"": 106987520, ""process_cpu_ms"": 875.0, ""target_policy"": ""middle stride target; simultaneous cold calls"", ""within_batch_hashes"": [""59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215"", ""59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215""]}"
django/django,django-3eb2e228,dependency_cycles_concurrency_2,cold_generation_safe_hybrid_concurrency,get_dependency_cycles,all_files,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228""}",1,2,45561,2730,39505920,558.4262,313.2348,28.046212731422703,2,7098,127094784,130809856,3715072,59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,85d9ecdb237b8aff2d1bb5fcceed1a7d516749c30c9d43ae586e117c541579c7,1,wt-generation-safe-hybrid,1651fd7c8ef39918e25495d4b2248985a24529ed36d1611b8fff6539af586fed,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""concurrency"": 2, ""peak_rss_bytes"": 133902336, ""peak_rss_delta_bytes"": 6807552, ""process_cpu_ms"": 546.875, ""target_policy"": ""middle stride target; simultaneous cold calls"", ""within_batch_hashes"": [""59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215"", ""59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215""]}"
