repo,repo_name,case,scope,tool,profile,mode,target_index,target_value,repetition,order_position,symbol_count,file_count,database_size_bytes,wall_ms,load_phase_ms,load_phase_pct,load_calls,response_bytes,rss_before_bytes,rss_after_bytes,rss_delta_bytes,canonical_response_hash,repo_git_head,repo_indexed_at,jcodemunch_version,jcodemunch_source_sha,benchmark_sha256,staged_harness_sha256,python_utf8_mode,source_root_basename,source_diff_sha256,source_dirty_paths,parity_debug_json
django/django,django-3eb2e228,symbol_source_single,cold_generation_safe_hybrid_deep_order_balanced,get_symbol_source,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,1,45561,2730,39505920,364.9763,359.2354,98.42704855082373,1,1655,139808768,247259136,107450368,4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,491d48d7d479279b6b5a67d51aa9d6ceb8a5c446abb992140c52e9c1b6662584,63a81eaf47ab83ae45c2e53b33f33c88998d26901e3a5bd37ababcaf86419595,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 359.375, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target; repeated representative wins, outliers, and edge cases"", ""worker_pid"": 38724}"
django/django,django-3eb2e228,symbol_source_single,cold_generation_safe_hybrid_deep_order_balanced,get_symbol_source,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,2,45561,2730,39505920,20.5628,14.9897,72.89717353667788,1,1654,111616000,120496128,8880128,4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,491d48d7d479279b6b5a67d51aa9d6ceb8a5c446abb992140c52e9c1b6662584,63a81eaf47ab83ae45c2e53b33f33c88998d26901e3a5bd37ababcaf86419595,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 15.625, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target; repeated representative wins, outliers, and edge cases"", ""worker_pid"": 27172}"
django/django,django-3eb2e228,file_content,cold_generation_safe_hybrid_deep_order_balanced,get_file_content,target_files,baseline_full,3,"{""file_path"": ""tests/custom_pk/fields.py"", ""max_content_results"": 20, ""repo"": ""local/django-3eb2e228"", ""search_content"": true}",1,1,45561,2730,39505920,376.0777,372.2124,98.97220707316599,1,3199,151576576,251924480,100347904,7916f0400c87e7e42e6f81f2885b1ef39cbdfd6876f3eb6e24308160f936297e,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,491d48d7d479279b6b5a67d51aa9d6ceb8a5c446abb992140c52e9c1b6662584,63a81eaf47ab83ae45c2e53b33f33c88998d26901e3a5bd37ababcaf86419595,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 531.25, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target; repeated representative wins, outliers, and edge cases"", ""worker_pid"": 38724}"
django/django,django-3eb2e228,file_content,cold_generation_safe_hybrid_deep_order_balanced,get_file_content,target_files,generation_safe_hybrid,3,"{""file_path"": ""tests/custom_pk/fields.py"", ""max_content_results"": 20, ""repo"": ""local/django-3eb2e228"", ""search_content"": true}",1,2,45561,2730,39505920,27.278,23.7234,86.96898599604077,1,3198,113369088,122548224,9179136,7916f0400c87e7e42e6f81f2885b1ef39cbdfd6876f3eb6e24308160f936297e,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,491d48d7d479279b6b5a67d51aa9d6ceb8a5c446abb992140c52e9c1b6662584,63a81eaf47ab83ae45c2e53b33f33c88998d26901e3a5bd37ababcaf86419595,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 31.25, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target; repeated representative wins, outliers, and edge cases"", ""worker_pid"": 27172}"
django/django,django-3eb2e228,dependency_cycles,cold_generation_safe_hybrid_deep_order_balanced,get_dependency_cycles,all_files,baseline_full,3,"{""repo"": ""local/django-3eb2e228""}",1,1,45561,2730,39505920,623.0369,357.902,57.444751667196606,1,3549,183705600,252387328,68681728,59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,491d48d7d479279b6b5a67d51aa9d6ceb8a5c446abb992140c52e9c1b6662584,63a81eaf47ab83ae45c2e53b33f33c88998d26901e3a5bd37ababcaf86419595,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 625.0, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target; repeated representative wins, outliers, and edge cases"", ""worker_pid"": 38724}"
django/django,django-3eb2e228,dependency_cycles,cold_generation_safe_hybrid_deep_order_balanced,get_dependency_cycles,all_files,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228""}",1,2,45561,2730,39505920,288.2607,16.7099,5.796801298269242,1,3549,119504896,125861888,6356992,59de29f5ff121883f746daee41dd101f5943660e6830d90323ab3f4a0ca42215,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,491d48d7d479279b6b5a67d51aa9d6ceb8a5c446abb992140c52e9c1b6662584,63a81eaf47ab83ae45c2e53b33f33c88998d26901e3a5bd37ababcaf86419595,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 281.25, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target; repeated representative wins, outliers, and edge cases"", ""worker_pid"": 27172}"
django/django,django-3eb2e228,changed_symbols,cold_generation_safe_hybrid_deep_order_balanced,get_changed_symbols,metadata,baseline_full,3,"{""include_blast_radius"": false, ""repo"": ""local/django-3eb2e228"", ""since_sha"": ""274a1d494d11d87a1b767340d1f398f197810f93"", ""until_sha"": ""274a1d494d11d87a1b767340d1f398f197810f93""}",1,1,45561,2730,39505920,524.3878,383.9098,73.21104724404344,1,539,186068992,252030976,65961984,7890ec2ac238cb084bbae498de22a373a175966b52963bc28f68d66e09b6c110,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,491d48d7d479279b6b5a67d51aa9d6ceb8a5c446abb992140c52e9c1b6662584,63a81eaf47ab83ae45c2e53b33f33c88998d26901e3a5bd37ababcaf86419595,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 437.5, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target; repeated representative wins, outliers, and edge cases"", ""worker_pid"": 38724}"
django/django,django-3eb2e228,changed_symbols,cold_generation_safe_hybrid_deep_order_balanced,get_changed_symbols,metadata,generation_safe_hybrid,3,"{""include_blast_radius"": false, ""repo"": ""local/django-3eb2e228"", ""since_sha"": ""274a1d494d11d87a1b767340d1f398f197810f93"", ""until_sha"": ""274a1d494d11d87a1b767340d1f398f197810f93""}",1,2,45561,2730,39505920,104.1669,15.7885,15.156926048485653,1,539,121778176,125652992,3874816,7890ec2ac238cb084bbae498de22a373a175966b52963bc28f68d66e09b6c110,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,491d48d7d479279b6b5a67d51aa9d6ceb8a5c446abb992140c52e9c1b6662584,63a81eaf47ab83ae45c2e53b33f33c88998d26901e3a5bd37ababcaf86419595,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 15.625, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target; repeated representative wins, outliers, and edge cases"", ""worker_pid"": 27172}"
django/django,django-3eb2e228,references_call_chain,cold_generation_safe_hybrid_deep_order_balanced,find_references,reference_call_chain,baseline_full,3,"{""identifier"": ""test_basic"", ""include_call_chain"": true, ""repo"": ""local/django-3eb2e228""}",1,1,45561,2730,39505920,373.7622,360.5299,96.45970084722317,1,372,187998208,252379136,64380928,d2e21df97856d9f2bdf993813cb54ef3d6f1d7c7b0fd1fca3f0dff2557dbd764,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,491d48d7d479279b6b5a67d51aa9d6ceb8a5c446abb992140c52e9c1b6662584,63a81eaf47ab83ae45c2e53b33f33c88998d26901e3a5bd37ababcaf86419595,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 375.0, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target; repeated representative wins, outliers, and edge cases"", ""worker_pid"": 38724}"
django/django,django-3eb2e228,references_call_chain,cold_generation_safe_hybrid_deep_order_balanced,find_references,reference_call_chain,generation_safe_hybrid,3,"{""identifier"": ""test_basic"", ""include_call_chain"": true, ""repo"": ""local/django-3eb2e228""}",1,2,45561,2730,39505920,25.5525,14.0286,54.90108599941298,1,371,122400768,128786432,6385664,d2e21df97856d9f2bdf993813cb54ef3d6f1d7c7b0fd1fca3f0dff2557dbd764,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,491d48d7d479279b6b5a67d51aa9d6ceb8a5c446abb992140c52e9c1b6662584,63a81eaf47ab83ae45c2e53b33f33c88998d26901e3a5bd37ababcaf86419595,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 15.625, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target; repeated representative wins, outliers, and edge cases"", ""worker_pid"": 27172}"
