repo,repo_name,case,scope,tool,profile,mode,target_index,target_value,repetition,order_position,symbol_count,file_count,database_size_bytes,wall_ms,load_phase_ms,load_phase_pct,load_calls,response_bytes,rss_before_bytes,rss_after_bytes,rss_delta_bytes,canonical_response_hash,repo_git_head,repo_indexed_at,jcodemunch_version,jcodemunch_source_sha,benchmark_sha256,python_utf8_mode,source_root_basename,source_diff_sha256,source_dirty_paths,parity_debug_json
django/django,django-3eb2e228,symbol_source_single,cold_generation_safe_hybrid_screen,get_symbol_source,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,1,45561,2730,39505920,379.1878,373.7452,98.56466901097556,1,1655,140103680,247558144,107454464,4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 375.0, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 42688}"
django/django,django-3eb2e228,symbol_source_single,cold_generation_safe_hybrid_screen,get_symbol_source,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,2,45561,2730,39505920,21.787,15.8975,72.96782484968101,1,1654,111542272,119492608,7950336,4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 31.25, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 22800}"
django/django,django-3eb2e228,symbol_source_batch,cold_generation_safe_hybrid_screen,get_symbol_source,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_ids"": [""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_null_argument#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_too_few_args#method""]}",1,1,45561,2730,39505920,29.0056,23.0956,79.62462421049729,1,3199,117100544,122720256,5619712,b5ca5a7e11d9d390786ba8bb2ec463784b32ce48e020430f5540ff09666be516,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 46.875, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 22800}"
django/django,django-3eb2e228,symbol_source_batch,cold_generation_safe_hybrid_screen,get_symbol_source,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_ids"": [""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_null_argument#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_too_few_args#method""]}",1,2,45561,2730,39505920,357.5084,351.6379,98.35794068055465,1,3200,155369472,252268544,96899072,b5ca5a7e11d9d390786ba8bb2ec463784b32ce48e020430f5540ff09666be516,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 515.625, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 42688}"
django/django,django-3eb2e228,context_single,cold_generation_safe_hybrid_screen,get_context_bundle,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,1,45561,2730,39505920,365.3589,360.3213,98.62119138195348,1,1513,191918080,251801600,59883520,0084f575e8504fe430ec73f42d4fd4b7d901d4b87f16cf44f29129104cd20027,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 359.375, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 42688}"
django/django,django-3eb2e228,context_single,cold_generation_safe_hybrid_screen,get_context_bundle,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,2,45561,2730,39505920,19.8834,15.0954,75.91961133407766,1,1512,134598656,144424960,9826304,0084f575e8504fe430ec73f42d4fd4b7d901d4b87f16cf44f29129104cd20027,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 15.625, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 22800}"
django/django,django-3eb2e228,context_batch,cold_generation_safe_hybrid_screen,get_context_bundle,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_ids"": [""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_null_argument#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_too_few_args#method""]}",1,1,45561,2730,39505920,19.8248,14.6522,73.90843791614545,1,3865,154206208,162643968,8437760,dd9035c93f02bd451724264d897eacb9256bde1d6c530dc1c09fad04bc44ba0c,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 31.25, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 22800}"
django/django,django-3eb2e228,context_batch,cold_generation_safe_hybrid_screen,get_context_bundle,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_ids"": [""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_null_argument#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_too_few_args#method""]}",1,2,45561,2730,39505920,391.0968,385.888,98.66815581206494,1,3866,201269248,251944960,50675712,dd9035c93f02bd451724264d897eacb9256bde1d6c530dc1c09fad04bc44ba0c,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 390.625, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 42688}"
django/django,django-3eb2e228,context_single_callers,cold_generation_safe_hybrid_screen,get_context_bundle,all_files_target_symbols,baseline_full,3,"{""include_callers"": true, ""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,1,45561,2730,39505920,620.0149,365.455,58.9429383068052,1,1528,204660736,253480960,48820224,a3dc83012188a920f6f0b46c4d46343def86eedeb23e689a32d80b51f0134d8e,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 734.375, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 42688}"
django/django,django-3eb2e228,context_single_callers,cold_generation_safe_hybrid_screen,get_context_bundle,all_files_target_symbols,generation_safe_hybrid,3,"{""include_callers"": true, ""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,2,45561,2730,39505920,278.7692,21.2807,7.6338060302214155,1,1528,173715456,182677504,8962048,a3dc83012188a920f6f0b46c4d46343def86eedeb23e689a32d80b51f0134d8e,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 421.875, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 22800}"
django/django,django-3eb2e228,context_batch_callers,cold_generation_safe_hybrid_screen,get_context_bundle,all_files_target_symbols,generation_safe_hybrid,3,"{""include_callers"": true, ""repo"": ""local/django-3eb2e228"", ""symbol_ids"": [""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_null_argument#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_too_few_args#method""]}",1,1,45561,2730,39505920,775.6785,15.8234,2.039943094980717,1,3911,193392640,203407360,10014720,71d3be1d5c598964cfe07e7232b356eea46c7410d19f79bfe93b2562a8006869,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 781.25, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 22800}"
django/django,django-3eb2e228,context_batch_callers,cold_generation_safe_hybrid_screen,get_context_bundle,all_files_target_symbols,baseline_full,3,"{""include_callers"": true, ""repo"": ""local/django-3eb2e228"", ""symbol_ids"": [""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_null_argument#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_too_few_args#method""]}",1,2,45561,2730,39505920,1124.7485,382.2346,33.984006202275445,1,3912,206491648,252846080,46354432,71d3be1d5c598964cfe07e7232b356eea46c7410d19f79bfe93b2562a8006869,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 1125.0, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 42688}"
django/django,django-3eb2e228,file_content,cold_generation_safe_hybrid_screen,get_file_content,target_files,baseline_full,3,"{""file_path"": ""tests/custom_pk/fields.py"", ""max_content_results"": 20, ""repo"": ""local/django-3eb2e228"", ""search_content"": true}",1,1,45561,2730,39505920,343.8205,340.1451,98.93101196700023,1,3199,210681856,252985344,42303488,7916f0400c87e7e42e6f81f2885b1ef39cbdfd6876f3eb6e24308160f936297e,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""process_cpu_ms"": 343.75, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 42688}"
django/django,django-3eb2e228,file_content,cold_generation_safe_hybrid_screen,get_file_content,target_files,generation_safe_hybrid,3,"{""file_path"": ""tests/custom_pk/fields.py"", ""max_content_results"": 20, ""repo"": ""local/django-3eb2e228"", ""search_content"": true}",1,2,45561,2730,39505920,17.9047,14.2767,79.7371639848755,1,3198,158556160,161992704,3436544,7916f0400c87e7e42e6f81f2885b1ef39cbdfd6876f3eb6e24308160f936297e,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,f8fc323fc3addabb5fdb2cc89ad46a3576a724a9e4bbac1f1b2fc6fac00c503a,1,wt-generation-safe-hybrid,175f8765c4949317d4f48614b8cdacd8c537ab2755c49f13f78a0b2b855cab96,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
?? tests/test_generation_safe_hybrid.py","{""process_cpu_ms"": 15.625, ""runtime_distribution_version"": ""1.108.199"", ""screening_target_policy"": ""middle stride target"", ""worker_pid"": 22800}"
