repo,repo_name,case,scope,tool,profile,mode,target_index,target_value,repetition,order_position,symbol_count,file_count,database_size_bytes,wall_ms,load_phase_ms,load_phase_pct,load_calls,response_bytes,rss_before_bytes,rss_after_bytes,rss_delta_bytes,canonical_response_hash,repo_git_head,repo_indexed_at,jcodemunch_version,jcodemunch_source_sha,benchmark_sha256,staged_harness_sha256,python_utf8_mode,source_root_basename,source_diff_sha256,source_dirty_paths,parity_debug_json
django/django,django-3eb2e228,symbol_source_single,cold_generation_safe_hybrid_screen,get_symbol_source,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,1,45561,2730,39505920,457.3417,453.1781,99.0896084918563,1,1655,247795712,371040256,123244544,4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,3369b1fcd5b12fcb1473031ec74bda8cc200d8860a09caa310c06e9f3ea8bf88,,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""cache_entry_mtime_after_warmup"": 1785370868232974500, ""cache_get_calls"": 1, ""cache_get_debug"": [{""branch"": """", ""entry_mtime"": null, ""entry_present"": false, ""hit"": false, ""mtime_equal"": false, ""name"": ""django-3eb2e228"", ""owner"": ""local"", ""requested_mtime"": 1785370868232974500}], ""cache_get_hits"": 0, ""cache_key_present_after_warmup"": true, ""cache_policy"": ""cold"", ""cached_symbols_loaded_after_warmup"": true, ""hydration_trace"": {""lazy_ensure_calls"": 0, ""lazy_full_materializations"": 0, ""load_results"": [{""branch"": """", ""lazy_loaded_at_return"": null, ""repo"": ""local/django-3eb2e228"", ""requested_hydration"": ""auto"", ""symbol_collection_type"": ""list""}], ""sparse_by_file_calls"": 0, ""sparse_by_files_calls"": 0, ""sparse_by_id_calls"": 0, ""sparse_by_name_calls"": 0}, ""mtime_after_measure"": 1785370868232974500, ""mtime_after_warmup"": 1785370868232974500, ""mtime_before_measure"": 1785370868232974500, ""mtime_before_warmup"": 1785370868232974500, ""process_cpu_ms"": 453.125, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target"", ""unsafe_global_partial_control"": false, ""wal_after_measure"": false, ""wal_after_warmup"": false, ""worker_pid"": 49336}"
django/django,django-3eb2e228,symbol_source_single,cold_generation_safe_hybrid_screen,get_symbol_source,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,2,45561,2730,39505920,20.9016,16.4524,78.71359130401501,1,1654,111923200,118235136,6311936,4bd281e69164260c096b148861e75cc4a2447ef9874c60f022dd76dc106cb524,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,3369b1fcd5b12fcb1473031ec74bda8cc200d8860a09caa310c06e9f3ea8bf88,,1,wt-generation-safe-hybrid,87f0ef27d476ad303a854c40a984e645bf1074ff2207c8d112c741447dbbfcb2,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
 M src/jcodemunch_mcp/tools/search_symbols.py
?? tests/test_generation_safe_hybrid.py","{""cache_entry_mtime_after_warmup"": null, ""cache_get_calls"": 0, ""cache_get_debug"": [], ""cache_get_hits"": 0, ""cache_key_present_after_warmup"": false, ""cache_policy"": ""cold"", ""cached_symbols_loaded_after_warmup"": true, ""hydration_trace"": {""lazy_ensure_calls"": 0, ""lazy_full_materializations"": 0, ""load_results"": [{""branch"": """", ""lazy_loaded_at_return"": false, ""repo"": ""local/django-3eb2e228"", ""requested_hydration"": ""auto"", ""symbol_collection_type"": ""LazySymbolList""}], ""sparse_by_file_calls"": 0, ""sparse_by_files_calls"": 0, ""sparse_by_id_calls"": 2, ""sparse_by_name_calls"": 0}, ""mtime_after_measure"": 1785370868232974500, ""mtime_after_warmup"": 1785370868232974500, ""mtime_before_measure"": 1785370868232974500, ""mtime_before_warmup"": 1785370868232974500, ""process_cpu_ms"": 46.875, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target"", ""unsafe_global_partial_control"": false, ""wal_after_measure"": false, ""wal_after_warmup"": false, ""worker_pid"": 44820}"
django/django,django-3eb2e228,symbol_source_batch,cold_generation_safe_hybrid_screen,get_symbol_source,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_ids"": [""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_null_argument#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_too_few_args#method""]}",1,1,45561,2730,39505920,29.3458,24.3232,82.8847739710623,1,3199,111333376,123195392,11862016,b5ca5a7e11d9d390786ba8bb2ec463784b32ce48e020430f5540ff09666be516,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,3369b1fcd5b12fcb1473031ec74bda8cc200d8860a09caa310c06e9f3ea8bf88,,1,wt-generation-safe-hybrid,87f0ef27d476ad303a854c40a984e645bf1074ff2207c8d112c741447dbbfcb2,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
 M src/jcodemunch_mcp/tools/search_symbols.py
?? tests/test_generation_safe_hybrid.py","{""cache_entry_mtime_after_warmup"": null, ""cache_get_calls"": 0, ""cache_get_debug"": [], ""cache_get_hits"": 0, ""cache_key_present_after_warmup"": false, ""cache_policy"": ""cold"", ""cached_symbols_loaded_after_warmup"": true, ""hydration_trace"": {""lazy_ensure_calls"": 0, ""lazy_full_materializations"": 0, ""load_results"": [{""branch"": """", ""lazy_loaded_at_return"": false, ""repo"": ""local/django-3eb2e228"", ""requested_hydration"": ""auto"", ""symbol_collection_type"": ""LazySymbolList""}], ""sparse_by_file_calls"": 0, ""sparse_by_files_calls"": 0, ""sparse_by_id_calls"": 6, ""sparse_by_name_calls"": 0}, ""mtime_after_measure"": 1785370868232974500, ""mtime_after_warmup"": 1785370868232974500, ""mtime_before_measure"": 1785370868232974500, ""mtime_before_warmup"": 1785370868232974500, ""process_cpu_ms"": 46.875, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target"", ""unsafe_global_partial_control"": false, ""wal_after_measure"": false, ""wal_after_warmup"": false, ""worker_pid"": 44820}"
django/django,django-3eb2e228,symbol_source_batch,cold_generation_safe_hybrid_screen,get_symbol_source,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_ids"": [""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_null_argument#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_too_few_args#method""]}",1,2,45561,2730,39505920,461.2963,455.2729,98.69424489205744,1,3200,307417088,377352192,69935104,b5ca5a7e11d9d390786ba8bb2ec463784b32ce48e020430f5540ff09666be516,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,3369b1fcd5b12fcb1473031ec74bda8cc200d8860a09caa310c06e9f3ea8bf88,,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""cache_entry_mtime_after_warmup"": 1785370868232974500, ""cache_get_calls"": 1, ""cache_get_debug"": [{""branch"": """", ""entry_mtime"": null, ""entry_present"": false, ""hit"": false, ""mtime_equal"": false, ""name"": ""django-3eb2e228"", ""owner"": ""local"", ""requested_mtime"": 1785370868232974500}], ""cache_get_hits"": 0, ""cache_key_present_after_warmup"": true, ""cache_policy"": ""cold"", ""cached_symbols_loaded_after_warmup"": true, ""hydration_trace"": {""lazy_ensure_calls"": 0, ""lazy_full_materializations"": 0, ""load_results"": [{""branch"": """", ""lazy_loaded_at_return"": null, ""repo"": ""local/django-3eb2e228"", ""requested_hydration"": ""auto"", ""symbol_collection_type"": ""list""}], ""sparse_by_file_calls"": 0, ""sparse_by_files_calls"": 0, ""sparse_by_id_calls"": 0, ""sparse_by_name_calls"": 0}, ""mtime_after_measure"": 1785370868232974500, ""mtime_after_warmup"": 1785370868232974500, ""mtime_before_measure"": 1785370868232974500, ""mtime_before_warmup"": 1785370868232974500, ""process_cpu_ms"": 625.0, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target"", ""unsafe_global_partial_control"": false, ""wal_after_measure"": false, ""wal_after_warmup"": false, ""worker_pid"": 49336}"
django/django,django-3eb2e228,context_single,cold_generation_safe_hybrid_screen,get_context_bundle,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,1,45561,2730,39505920,464.7002,460.8278,99.16668854457133,1,1513,310910976,378052608,67141632,0084f575e8504fe430ec73f42d4fd4b7d901d4b87f16cf44f29129104cd20027,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,3369b1fcd5b12fcb1473031ec74bda8cc200d8860a09caa310c06e9f3ea8bf88,,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""cache_entry_mtime_after_warmup"": 1785370868232974500, ""cache_get_calls"": 1, ""cache_get_debug"": [{""branch"": """", ""entry_mtime"": null, ""entry_present"": false, ""hit"": false, ""mtime_equal"": false, ""name"": ""django-3eb2e228"", ""owner"": ""local"", ""requested_mtime"": 1785370868232974500}], ""cache_get_hits"": 0, ""cache_key_present_after_warmup"": true, ""cache_policy"": ""cold"", ""cached_symbols_loaded_after_warmup"": true, ""hydration_trace"": {""lazy_ensure_calls"": 0, ""lazy_full_materializations"": 0, ""load_results"": [{""branch"": """", ""lazy_loaded_at_return"": null, ""repo"": ""local/django-3eb2e228"", ""requested_hydration"": ""auto"", ""symbol_collection_type"": ""list""}], ""sparse_by_file_calls"": 0, ""sparse_by_files_calls"": 0, ""sparse_by_id_calls"": 0, ""sparse_by_name_calls"": 0}, ""mtime_after_measure"": 1785370868232974500, ""mtime_after_warmup"": 1785370868232974500, ""mtime_before_measure"": 1785370868232974500, ""mtime_before_warmup"": 1785370868232974500, ""process_cpu_ms"": 468.75, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target"", ""unsafe_global_partial_control"": false, ""wal_after_measure"": false, ""wal_after_warmup"": false, ""worker_pid"": 49336}"
django/django,django-3eb2e228,context_single,cold_generation_safe_hybrid_screen,get_context_bundle,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,2,45561,2730,39505920,18.4415,14.5874,79.1009408128406,1,1512,119504896,125702144,6197248,0084f575e8504fe430ec73f42d4fd4b7d901d4b87f16cf44f29129104cd20027,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,3369b1fcd5b12fcb1473031ec74bda8cc200d8860a09caa310c06e9f3ea8bf88,,1,wt-generation-safe-hybrid,87f0ef27d476ad303a854c40a984e645bf1074ff2207c8d112c741447dbbfcb2,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
 M src/jcodemunch_mcp/tools/search_symbols.py
?? tests/test_generation_safe_hybrid.py","{""cache_entry_mtime_after_warmup"": null, ""cache_get_calls"": 0, ""cache_get_debug"": [], ""cache_get_hits"": 0, ""cache_key_present_after_warmup"": false, ""cache_policy"": ""cold"", ""cached_symbols_loaded_after_warmup"": true, ""hydration_trace"": {""lazy_ensure_calls"": 0, ""lazy_full_materializations"": 0, ""load_results"": [{""branch"": """", ""lazy_loaded_at_return"": false, ""repo"": ""local/django-3eb2e228"", ""requested_hydration"": ""auto"", ""symbol_collection_type"": ""LazySymbolList""}], ""sparse_by_file_calls"": 0, ""sparse_by_files_calls"": 0, ""sparse_by_id_calls"": 2, ""sparse_by_name_calls"": 0}, ""mtime_after_measure"": 1785370868232974500, ""mtime_after_warmup"": 1785370868232974500, ""mtime_before_measure"": 1785370868232974500, ""mtime_before_warmup"": 1785370868232974500, ""process_cpu_ms"": 15.625, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target"", ""unsafe_global_partial_control"": false, ""wal_after_measure"": false, ""wal_after_warmup"": false, ""worker_pid"": 44820}"
django/django,django-3eb2e228,context_batch,cold_generation_safe_hybrid_screen,get_context_bundle,target_symbols,generation_safe_hybrid,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_ids"": [""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_null_argument#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_too_few_args#method""]}",1,1,45561,2730,39505920,17.1677,13.4819,78.53061272039935,1,3865,122114048,126369792,4255744,dd9035c93f02bd451724264d897eacb9256bde1d6c530dc1c09fad04bc44ba0c,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,3369b1fcd5b12fcb1473031ec74bda8cc200d8860a09caa310c06e9f3ea8bf88,,1,wt-generation-safe-hybrid,87f0ef27d476ad303a854c40a984e645bf1074ff2207c8d112c741447dbbfcb2,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
 M src/jcodemunch_mcp/tools/search_symbols.py
?? tests/test_generation_safe_hybrid.py","{""cache_entry_mtime_after_warmup"": null, ""cache_get_calls"": 0, ""cache_get_debug"": [], ""cache_get_hits"": 0, ""cache_key_present_after_warmup"": false, ""cache_policy"": ""cold"", ""cached_symbols_loaded_after_warmup"": true, ""hydration_trace"": {""lazy_ensure_calls"": 0, ""lazy_full_materializations"": 0, ""load_results"": [{""branch"": """", ""lazy_loaded_at_return"": false, ""repo"": ""local/django-3eb2e228"", ""requested_hydration"": ""auto"", ""symbol_collection_type"": ""LazySymbolList""}], ""sparse_by_file_calls"": 0, ""sparse_by_files_calls"": 0, ""sparse_by_id_calls"": 6, ""sparse_by_name_calls"": 0}, ""mtime_after_measure"": 1785370868232974500, ""mtime_after_warmup"": 1785370868232974500, ""mtime_before_measure"": 1785370868232974500, ""mtime_before_warmup"": 1785370868232974500, ""process_cpu_ms"": 31.25, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target"", ""unsafe_global_partial_control"": false, ""wal_after_measure"": false, ""wal_after_warmup"": false, ""worker_pid"": 44820}"
django/django,django-3eb2e228,context_batch,cold_generation_safe_hybrid_screen,get_context_bundle,target_symbols,baseline_full,3,"{""repo"": ""local/django-3eb2e228"", ""symbol_ids"": [""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_null_argument#method"", ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_too_few_args#method""]}",1,2,45561,2730,39505920,476.5284,472.4111,99.13598014305128,1,3866,331292672,378605568,47312896,dd9035c93f02bd451724264d897eacb9256bde1d6c530dc1c09fad04bc44ba0c,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,3369b1fcd5b12fcb1473031ec74bda8cc200d8860a09caa310c06e9f3ea8bf88,,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""cache_entry_mtime_after_warmup"": 1785370868232974500, ""cache_get_calls"": 1, ""cache_get_debug"": [{""branch"": """", ""entry_mtime"": null, ""entry_present"": false, ""hit"": false, ""mtime_equal"": false, ""name"": ""django-3eb2e228"", ""owner"": ""local"", ""requested_mtime"": 1785370868232974500}], ""cache_get_hits"": 0, ""cache_key_present_after_warmup"": true, ""cache_policy"": ""cold"", ""cached_symbols_loaded_after_warmup"": true, ""hydration_trace"": {""lazy_ensure_calls"": 0, ""lazy_full_materializations"": 0, ""load_results"": [{""branch"": """", ""lazy_loaded_at_return"": null, ""repo"": ""local/django-3eb2e228"", ""requested_hydration"": ""auto"", ""symbol_collection_type"": ""list""}], ""sparse_by_file_calls"": 0, ""sparse_by_files_calls"": 0, ""sparse_by_id_calls"": 0, ""sparse_by_name_calls"": 0}, ""mtime_after_measure"": 1785370868232974500, ""mtime_after_warmup"": 1785370868232974500, ""mtime_before_measure"": 1785370868232974500, ""mtime_before_warmup"": 1785370868232974500, ""process_cpu_ms"": 484.375, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target"", ""unsafe_global_partial_control"": false, ""wal_after_measure"": false, ""wal_after_warmup"": false, ""worker_pid"": 49336}"
django/django,django-3eb2e228,context_single_callers,cold_generation_safe_hybrid_screen,get_context_bundle,all_files_target_symbols,baseline_full,3,"{""include_callers"": true, ""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,1,45561,2730,39505920,709.9153,456.4201,64.2921909134794,1,1528,336756736,379142144,42385408,a3dc83012188a920f6f0b46c4d46343def86eedeb23e689a32d80b51f0134d8e,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,3369b1fcd5b12fcb1473031ec74bda8cc200d8860a09caa310c06e9f3ea8bf88,,1,wt-1.108.207,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,"{""cache_entry_mtime_after_warmup"": 1785370868232974500, ""cache_get_calls"": 1, ""cache_get_debug"": [{""branch"": """", ""entry_mtime"": null, ""entry_present"": false, ""hit"": false, ""mtime_equal"": false, ""name"": ""django-3eb2e228"", ""owner"": ""local"", ""requested_mtime"": 1785370868232974500}], ""cache_get_hits"": 0, ""cache_key_present_after_warmup"": true, ""cache_policy"": ""cold"", ""cached_symbols_loaded_after_warmup"": true, ""hydration_trace"": {""lazy_ensure_calls"": 0, ""lazy_full_materializations"": 0, ""load_results"": [{""branch"": """", ""lazy_loaded_at_return"": null, ""repo"": ""local/django-3eb2e228"", ""requested_hydration"": ""auto"", ""symbol_collection_type"": ""list""}], ""sparse_by_file_calls"": 0, ""sparse_by_files_calls"": 0, ""sparse_by_id_calls"": 0, ""sparse_by_name_calls"": 0}, ""mtime_after_measure"": 1785370868232974500, ""mtime_after_warmup"": 1785370868232974500, ""mtime_before_measure"": 1785370868232974500, ""mtime_before_warmup"": 1785370868232974500, ""process_cpu_ms"": 812.5, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target"", ""unsafe_global_partial_control"": false, ""wal_after_measure"": false, ""wal_after_warmup"": false, ""worker_pid"": 49336}"
django/django,django-3eb2e228,context_single_callers,cold_generation_safe_hybrid_screen,get_context_bundle,all_files_target_symbols,generation_safe_hybrid,3,"{""include_callers"": true, ""repo"": ""local/django-3eb2e228"", ""symbol_id"": ""tests/db_functions/comparison/test_nullif.py::NullIfTests.test_basic#method""}",1,2,45561,2730,39505920,267.0579,15.5133,5.808965022191816,1,1528,122937344,126480384,3543040,a3dc83012188a920f6f0b46c4d46343def86eedeb23e689a32d80b51f0134d8e,274a1d494d11d87a1b767340d1f398f197810f93,2026-07-29T20:21:07.572944,1.108.207,c2201a55b6e1b0ea38043c514ab7bc3a372bad13,3369b1fcd5b12fcb1473031ec74bda8cc200d8860a09caa310c06e9f3ea8bf88,,1,wt-generation-safe-hybrid,87f0ef27d476ad303a854c40a984e645bf1074ff2207c8d112c741447dbbfcb2,"M src/jcodemunch_mcp/server.py
 M src/jcodemunch_mcp/storage/index_store.py
 M src/jcodemunch_mcp/storage/sqlite_store.py
 M src/jcodemunch_mcp/tools/check_references.py
 M src/jcodemunch_mcp/tools/find_references.py
 M src/jcodemunch_mcp/tools/get_blast_radius.py
 M src/jcodemunch_mcp/tools/get_churn_rate.py
 M src/jcodemunch_mcp/tools/get_file_outline.py
 M src/jcodemunch_mcp/tools/get_file_risk.py
 M src/jcodemunch_mcp/tools/get_file_tree.py
 M src/jcodemunch_mcp/tools/get_symbol_complexity.py
 M src/jcodemunch_mcp/tools/get_symbol_provenance.py
 M src/jcodemunch_mcp/tools/search_symbols.py
?? tests/test_generation_safe_hybrid.py","{""cache_entry_mtime_after_warmup"": null, ""cache_get_calls"": 0, ""cache_get_debug"": [], ""cache_get_hits"": 0, ""cache_key_present_after_warmup"": false, ""cache_policy"": ""cold"", ""cached_symbols_loaded_after_warmup"": true, ""hydration_trace"": {""lazy_ensure_calls"": 0, ""lazy_full_materializations"": 0, ""load_results"": [{""branch"": """", ""lazy_loaded_at_return"": false, ""repo"": ""local/django-3eb2e228"", ""requested_hydration"": ""auto"", ""symbol_collection_type"": ""LazySymbolList""}], ""sparse_by_file_calls"": 0, ""sparse_by_files_calls"": 0, ""sparse_by_id_calls"": 2, ""sparse_by_name_calls"": 0}, ""mtime_after_measure"": 1785370868232974500, ""mtime_after_warmup"": 1785370868232974500, ""mtime_before_measure"": 1785370868232974500, ""mtime_before_warmup"": 1785370868232974500, ""process_cpu_ms"": 375.0, ""runtime_distribution_version"": ""1.108.199"", ""target_policy"": ""middle stride target"", ""unsafe_global_partial_control"": false, ""wal_after_measure"": false, ""wal_after_warmup"": false, ""worker_pid"": 44820}"
